1EXB	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
1EXB	py	17809	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
1JTD	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0200	ok
1JTD	py	4135	0.0000	0.0000	0.2000	0.1000	0.0400	0.0200	ok
1M27	lk	500	0.0000	0.0000	0.0000	0.0526	0.0612	0.0619	ok
1M27	py	3329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
1RKE	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	ok
1RKE	py	5422	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2A1A	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0202	ok
2A1A	py	195	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	ok
2GAF	lk	500	0.0000	0.0000	0.0000	0.0500	0.0208	0.0103	ok
2GAF	py	4650	0.0000	0.2000	0.1000	0.0500	0.0200	0.0200	ok
2GTP	lk	500	0.0000	0.0000	0.0000	0.0000	0.0612	0.0404	ok
2GTP	py	4958	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2VXT	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2VXT	py	4625	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2W9E	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2W9E	py	4506	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2X9A	lk	500	0.0000	0.6000	0.3000	0.3000	0.2041	0.1443	ok
2X9A	py	4046	1.0000	0.6000	0.3000	0.1500	0.1200	0.0700	ok
2YVJ	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2YVJ	py	3805	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	ok
3A4S	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0303	ok
3A4S	py	3967	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3AAA	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3AAA	py	4591	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3AAD	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3AAD	py	5086	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3BIW	lk	500	0.0000	0.2000	0.1111	0.0526	0.0208	0.0102	ok
3BIW	py	4793	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3BX7	lk	500	0.0000	0.0000	0.0000	0.0000	0.0200	0.0101	ok
3BX7	py	166	0.0000	0.0000	0.0000	0.1000	0.1000	0.0600	ok
3DAW	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3DAW	py	324	0.0000	0.2000	0.1000	0.1000	0.0600	0.0400	ok
3EO1	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3EO1	py	5407	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3EOA	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3EOA	py	3825	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3F1P	lk	500	1.0000	0.6000	0.5000	0.3000	0.1600	0.1000	ok
3F1P	py	4896	0.0000	0.0000	0.1000	0.0500	0.0200	0.0200	ok
3FN1	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3FN1	py	4268	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3G6D	lk	500	0.0000	0.0000	0.0000	0.0000	0.0204	0.0303	ok
3G6D	py	81	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	ok
3H11	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3H11	py	5487	0.0000	0.0000	0.1000	0.0500	0.0800	0.0400	ok
3H2V	lk	500	0.0000	0.0000	0.1111	0.1053	0.0408	0.0306	ok
3H2V	py	4800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3HI6	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3HI6	py	75	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3HMX	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3HMX	py	7518	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3K75	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3K75	py	4282	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3L5W	lk	500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3L5W	py	143	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3LVK	lk	500	0.0000	0.0000	0.0000	0.0000	0.0408	0.0404	ok
3LVK	py	3305	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
